title,price,in_stock,rating,url,price_category
A Light in the Attic,51.77,True,3,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Premium
Tipping the Velvet,53.74,True,1,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Premium
Soumission,50.1,True,1,http://books.toscrape.com/catalogue/soumission_998/index.html,Premium
Sharp Objects,47.82,True,4,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Premium
Sapiens: A Brief History of Humankind,54.23,True,5,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Premium
The Requiem Red,22.65,True,1,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Mid-range
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,4,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Mid-range
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,3,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Budget
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,True,4,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Mid-range
The Black Maria,52.15,True,1,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,Premium
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,2,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Budget
Shakespeare's Sonnets,20.66,True,4,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Mid-range
Set Me Free,17.46,True,5,http://books.toscrape.com/catalogue/set-me-free_988/index.html,Budget
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,5,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Premium
Rip it Up and Start Again,35.02,True,5,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Mid-range
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,3,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Premium
Olio,23.88,True,1,http://books.toscrape.com/catalogue/olio_984/index.html,Mid-range
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,1,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mid-range
Libertarianism for Beginners,51.33,True,2,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Premium
It's Only the Himalayas,45.17,True,2,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Premium
In Her Wake,12.84,True,1,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,Budget
How Music Works,37.32,True,2,http://books.toscrape.com/catalogue/how-music-works_979/index.html,Mid-range
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,True,3,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Mid-range
